Image_path,Label
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6817-01A-01-BS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-5722-01A-01-BS1_files/0/2_1.jpeg,nocin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-5722-01A-01-BS1_files/0/1_1.jpeg,nocin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-4440-01A-01-TS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-5717-01A-01-BS1_files/0/1_1.jpeg,nocin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-4301-01A-01-TS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-8570-01A-01-TS1_files/0/1_1.jpeg,nocin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6522-01A-01-BS1_files/0/1_1.jpeg,nocin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6527-01A-01-TS1_files/0/1_2.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6527-01A-01-TS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-HU-A4GP-11A-02-TS2_files/0/8_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-HU-A4GP-11A-02-TS2_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-HU-A4GP-11A-02-TS2_files/0/7_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6520-01A-01-TS1_files/0/3_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6520-01A-01-TS1_files/0/2_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6520-01A-01-TS1_files/0/2_2.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6520-01A-01-TS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-4443-01A-01-TS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-IP-7968-01A-01-TS1_files/0/1_2.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-IP-7968-01A-01-TS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-5719-01A-01-BS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-HU-A4G9-01Z-00-DX1_files/0/1_2.jpeg,nocin
HEAL_Workspace/tiling_macenko/train/TCGA-HU-A4G9-01Z-00-DX1_files/0/1_1.jpeg,nocin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-4442-01A-01-TS1_files/0/1_1.jpeg,nocin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6518-01A-01-TS1_files/0/2_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6518-01A-01-TS1_files/0/2_2.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6518-01A-01-TS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6519-01A-01-TS1_files/0/2_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-D7-6519-01A-01-TS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-5721-11A-01-TS1_files/0/1_1.jpeg,nocin
HEAL_Workspace/tiling_macenko/train/TCGA-HU-A4GY-11A-01-TS1_files/0/8_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-HU-A4GY-11A-01-TS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-4466-01A-01-TS1_files/0/1_1.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-CG-5723-11A-01-TS1_files/0/1_1.jpeg,nocin
HEAL_Workspace/tiling_macenko/train/TCGA-FP-A9TM-01Z-00-DX1_files/0/1_2.jpeg,cin
HEAL_Workspace/tiling_macenko/train/TCGA-FP-A9TM-01Z-00-DX1_files/0/1_1.jpeg,cin
